experiment_name,model_name,model_config,train_config,requested_train_tokens,train_tokens,train_token_overshoot,train_token_overshoot_ratio,steps,batch_size,block_size,train_tokens_per_second,peak_memory_bytes,peak_memory_gb,final_train_loss,final_lm_loss,final_mtp_loss,validation_loss,validation_perplexity,test_loss,test_perplexity,total_parameters,trainable_parameters,activated_parameters_per_token,activated_to_total_ratio,tokens_per_total_parameter,tokens_per_trainable_parameter,tokens_per_activated_parameter,requested_tokens_per_total_parameter,requested_tokens_per_trainable_parameter,requested_tokens_per_activated_parameter,epoch_equivalent,requested_epoch_equivalent,mtp_enabled,mtp_num_future_tokens,mtp_loss_weight,routing_stats_present,mean_aux_loss,mean_routing_entropy,mean_expert_load_variance
main_large_50m_00_dense_121m,baseline_gpt,configs/model/dense_121m.yaml,configs/train/main_large_50m.yaml,50000000,50000896,896,1.792e-05,48829,4,256,4367.021050922463,3039483904,3.039483904,4.357009410858154,4.357009410858154,,4.303078441619873,73.92702378972888,4.4903001832962035,89.14820266381399,120945408,120945408,120945408,1.0,0.41341706830241953,0.41341706830241953,0.41341706830241953,0.41340966000131235,0.41340966000131235,0.41340966000131235,0.8182253083091353,0.8182106459743594,False,0,0.0,False,,,
main_large_50m_01_mla_121m,mla_gpt,configs/model/mla_121m.yaml,configs/train/main_large_50m.yaml,50000000,50000896,896,1.792e-05,48829,4,256,3750.428218208013,3507910656,3.507910656,4.614983081817627,4.614983081817627,,4.48562524318695,88.73241280910675,4.710709438323975,111.13097251693434,137460480,137460480,137460480,1.0,0.3637474276242888,0.3637474276242888,0.3637474276242888,0.3637409093871926,0.3637409093871926,0.3637409093871926,0.8182253083091353,0.8182106459743594,False,0,0.0,False,,,
main_large_50m_02_mtp_121m,mtp_gpt,configs/model/mtp_121m.yaml,configs/train/main_large_50m.yaml,50000000,50000896,896,1.792e-05,48829,4,256,3792.167450680856,3432570368,3.432570368,5.993718147277832,4.387294769287109,5.354744911193848,4.2939210343360905,73.25313417370002,4.491109681129456,89.22039715740941,136305408,136305408,136305408,1.0,0.3668298766252914,0.3668298766252914,0.3668298766252914,0.36682330315169887,0.36682330315169887,0.36682330315169887,0.8182253083091353,0.8182106459743594,True,2,0.3,False,,,
main_large_50m_03_moe_220m,moe_gpt,configs/model/moe_220m.yaml,configs/train/main_large_50m.yaml,50000000,50000896,896,1.792e-05,48829,4,256,3070.2921602004944,4610929664,4.610929664,4.511824607849121,4.390113830566406,,4.356982231140137,78.02132846265796,4.42239848613739,83.29582985353657,220146432,220146432,78588672,0.3569836280607991,0.2271256251838776,0.2271256251838776,0.6362354106199937,0.22712155516560906,0.22712155516560906,0.6362240094857436,0.8182253083091353,0.8182106459743594,False,0,0.0,True,0.010266015538945794,1.956332504749298,0.0004003147296316456
main_large_50m_04_mla_moe_220m,mla_moe_gpt,configs/model/mla_moe_220m.yaml,configs/train/main_large_50m.yaml,50000000,50000896,896,1.792e-05,48829,4,256,2754.70077240061,4940050432,4.940050432,4.691610813140869,4.570204734802246,,4.50011284828186,90.02729015232079,4.746898379325867,115.22634130968761,236661504,236661504,95103744,0.4018555717452045,0.21127600034182153,0.21127600034182153,0.5257510787377624,0.2112722143437405,0.2112722143437405,0.525741657447261,0.8182253083091353,0.8182106459743594,False,0,0.0,True,0.01023574840898315,1.9691556294759114,0.0004158980336796958
main_large_50m_05_v3_routing_220m,v3_routing_gpt,configs/model/v3_routing_220m.yaml,configs/train/main_large_50m.yaml,50000000,50000896,896,1.792e-05,48829,4,256,3079.4929312642103,4619199488,4.619199488,4.397121429443359,4.397121429443359,,4.296435213088989,73.43753736137513,4.5341015672683715,93.13979785979438,220146432,220146432,78588672,0.3569836280607991,0.2271256251838776,0.2271256251838776,0.6362354106199937,0.22712155516560906,0.22712155516560906,0.6362240094857436,0.8182253083091353,0.8182106459743594,False,0,0.0,True,0.0,1.9698346356550853,0.0006085501797012208
