metric,model_a,model_b,comparison,n_seed_blocks,mean_model_a,mean_model_b,mean_difference_a_minus_b,std_difference,sem_difference,ci95_low_difference,ci95_high_difference,bootstrap_ci95_low_difference,bootstrap_ci95_high_difference,paired_t_statistic,paired_t_p_value,wilcoxon_statistic,wilcoxon_p_value,sign_flip_p_value,cohen_dz,lower_is_better,model_a_improvement_count,model_b_or_tie_count,model_a_improvement_fraction,paired_t_p_value_holm_within_metric
validation_loss,mtp_121m,dense_121m,mtp_121m - dense_121m,25,4.270382801055908,4.299869081020356,-0.029486279964447065,0.03884374805934654,0.007768749611869308,-0.0455201911140324,-0.013452368814861726,-0.044605906817913044,-0.014580964879989755,-3.7954988173897535,0.0008819514986744423,43.0,0.0007149577140808105,0.0007999600019999,-0.7590997634779507,True,20,5,0.8,0.005291708992046654
validation_loss,moe_220m,dense_121m,moe_220m - dense_121m,25,4.271125084400177,4.299869081020356,-0.028743996620178153,0.0460448434479545,0.0092089686895909,-0.047750373852702324,-0.009737619387653981,-0.04626568263530722,-0.010968794670104982,-3.1213046312849473,0.0046437190863206634,65.0,0.007370948791503906,0.0042997850107494625,-0.6242609262569895,True,18,7,0.72,0.023218595431603317
validation_loss,v3_routing_220m,dense_121m,v3_routing_220m - dense_121m,25,4.278601340198517,4.299869081020356,-0.02126774082183843,0.04371644186827471,0.008743288373654942,-0.0393130011201239,-0.0032224805235529647,-0.037944359230995386,-0.0040501373958587595,-2.432464756157632,0.02282378533320299,83.0,0.03180783987045288,0.02449877506124694,-0.48649295123152647,True,19,6,0.76,0.09129514133281195
validation_loss,v3_routing_220m,moe_220m,v3_routing_220m - moe_220m,25,4.278601340198517,4.271125084400177,0.007476255798339722,0.041581694052595944,0.00831633881051919,-0.00968782391070215,0.024640335507381594,-0.009011595230102688,0.02323389651060074,0.8989840323584627,0.3775925915557405,117.0,0.23036134243011475,0.37388130593470326,0.17979680647169255,True,8,17,0.32,0.7842008102872657
validation_loss,mtp_121m,moe_220m,mtp_121m - moe_220m,25,4.270382801055908,4.271125084400177,-0.0007422833442689125,0.045783007513752194,0.009156601502750439,-0.01964058001519655,0.018156013326658726,-0.018164740164280012,0.017192453346252256,-0.08106537606184425,0.9360622060140374,159.0,0.936802864074707,0.936003199840008,-0.01621307521236885,True,15,10,0.6,0.9360622060140374
validation_loss,mtp_121m,v3_routing_220m,mtp_121m - v3_routing_220m,25,4.270382801055908,4.278601340198517,-0.008218539142608634,0.03572706350514353,0.007145412701028706,-0.0229659461385004,0.006528867853283131,-0.02231367360591892,0.0049266036391258285,-1.1501839692793998,0.2614002700957552,128.0,0.3665854334831238,0.2591370431478426,-0.23003679385587997,True,13,12,0.52,0.7842008102872657
test_loss,mtp_121m,dense_121m,mtp_121m - dense_121m,25,4.4674354125976565,4.485898118209839,-0.01846270561218269,0.053079530817318,0.0106159061634636,-0.040372859073333295,0.003447447848967916,-0.038927299056053216,0.0020028001737593185,-1.7391549367424846,0.09482038588616032,108.0,0.14847958087921143,0.09224538773061347,-0.34783098734849693,True,13,12,0.52,0.4741019294308016
test_loss,moe_220m,dense_121m,moe_220m - dense_121m,25,4.455843325424195,4.485898118209839,-0.030054792785644543,0.04931161180483615,0.00986232236096723,-0.05040962572075671,-0.009699959850532375,-0.04925578968763343,-0.01147678236246111,-3.0474356531474167,0.00554278083677497,70.0,0.011453330516815186,0.004749762511874406,-0.6094871306294833,True,18,7,0.72,0.03325668502064982
test_loss,v3_routing_220m,dense_121m,v3_routing_220m - dense_121m,25,4.473333518123627,4.485898118209839,-0.012564600086212145,0.04109056746241386,0.008218113492482772,-0.0295259527026432,0.004396752530218909,-0.02870685000896436,0.003059423887729596,-1.5288910402253713,0.139365666893574,106.0,0.13364005088806152,0.14074296285185742,-0.3057782080450743,True,17,8,0.68,0.4741019294308016
test_loss,v3_routing_220m,moe_220m,v3_routing_220m - moe_220m,25,4.473333518123627,4.455843325424195,0.0174901926994324,0.050892875776914676,0.010178575155382934,-0.0035173539231851854,0.03849773932204999,-0.002422567629814253,0.03672328881740585,1.7183340921919426,0.09861200636263646,99.0,0.09031611680984497,0.09849507524623768,0.3436668184383886,True,7,18,0.28,0.4741019294308016
test_loss,mtp_121m,moe_220m,mtp_121m - moe_220m,25,4.4674354125976565,4.455843325424195,0.011592087173461855,0.05105624953613385,0.01021124990722677,-0.009482896822487775,0.032667071169411484,-0.007868207592964296,0.031008920817375125,1.1352270563134323,0.26749081020826077,121.0,0.2751842737197876,0.2695865206739663,0.22704541126268646,True,11,14,0.44,0.5349816204165215
test_loss,mtp_121m,v3_routing_220m,mtp_121m - v3_routing_220m,25,4.4674354125976565,4.473333518123627,-0.005898105525970543,0.03944540103590831,0.007889080207181662,-0.022180366818140892,0.010384155766199808,-0.021056842885017395,0.009304659023284674,-0.7476290481368569,0.46194706953550857,138.0,0.5249125957489014,0.4567271636418179,-0.14952580962737136,True,14,11,0.56,0.5349816204165215
validation_perplexity,mtp_121m,dense_121m,mtp_121m - dense_121m,25,71.62368753767231,73.76630975161432,-2.1426222139420132,2.8163399453955056,0.5632679890791011,-3.30515020641348,-0.9800942214705466,-3.21541132282042,-1.0656184463022729,-3.8039126232701985,0.0008635191063672998,40.0,0.0004894733428955078,0.0007999600019999,-0.7607825246540397,True,20,5,0.8,0.005181114638203799
validation_perplexity,moe_220m,dense_121m,moe_220m - dense_121m,25,71.7196061877108,73.76630975161432,-2.046703563903522,3.398887816432408,0.6797775632864816,-3.449695498997495,-0.6437116288095492,-3.3218012165581956,-0.7465558982766237,-3.0108430675593962,0.006047814573372832,68.0,0.00963503122329712,0.006199690015499225,-0.6021686135118792,True,18,7,0.72,0.030239072866864163
validation_perplexity,v3_routing_220m,dense_121m,v3_routing_220m - dense_121m,25,72.2332655988571,73.76630975161432,-1.5330441527572145,3.2356498362796415,0.6471299672559283,-2.8686547613631155,-0.19743354415131353,-2.785353905805291,-0.2825526196408507,-2.368989585288241,0.02622686716875249,84.0,0.034173786640167236,0.027248637568121594,-0.4737979170576482,True,19,6,0.76,0.10490746867500995
validation_perplexity,v3_routing_220m,moe_220m,v3_routing_220m - moe_220m,25,72.2332655988571,71.7196061877108,0.5136594111463074,3.0423135317474195,0.6084627063494839,-0.7421458932926873,1.7694647155853023,-0.6724531384268405,1.6593366988786016,0.8441921021389203,0.4068985177483353,116.0,0.21998637914657593,0.4089295535223239,0.16883842042778407,True,8,17,0.32,0.8137970354966706
validation_perplexity,mtp_121m,moe_220m,mtp_121m - moe_220m,25,71.62368753767231,71.7196061877108,-0.09591865003849137,3.312603109547209,0.6625206219094417,-1.4632940086462924,1.2714567085693096,-1.3479452475218112,1.1974183574244577,-0.14477836140714462,0.886094832440926,160.0,0.9578450322151184,0.8830558472076396,-0.028955672281428924,True,15,10,0.6,0.886094832440926
validation_perplexity,mtp_121m,v3_routing_220m,mtp_121m - v3_routing_220m,25,71.62368753767231,72.2332655988571,-0.6095780611847988,2.5924583958382406,0.5184916791676482,-1.679692292035007,0.46053616966540944,-1.6154850667097,0.3544761172035196,-1.1756756871457892,0.2512559608914172,128.0,0.3665854334831238,0.25158742062896855,-0.23513513742915787,True,13,12,0.52,0.7537678826742517
