metric,metric_group,budget,budget_tokens,model,group_seed_count,non_missing_seed_count,missing_seed_count,is_primary_metric,mean,std,standard_error,ci95_low,ci95_high,median,min,max,q25,q75,iqr
active_end_to_end_tokens_per_second,efficiency,25m,25000000,dense_121m,10,10,0,False,4102.152196490071,11.798643546995695,3.7310586908954293,4093.711955347855,4110.592437632287,4101.5734937679335,4082.6440831282816,4119.045870972471,4094.200902215587,4111.175555401637,16.97465318605009
active_end_to_end_tokens_per_second,efficiency,25m,25000000,mla_121m,10,10,0,False,3579.887709774277,15.861915963782018,5.015978249973606,3568.5407786479464,3591.2346409006077,3580.139161126961,3550.0835886012323,3600.3448859193054,3569.9473137612486,3590.5279471305075,20.580633369258976
active_end_to_end_tokens_per_second,efficiency,25m,25000000,mtp_121m,10,10,0,False,3548.2149201833113,14.693788905696062,4.6465840399712635,3537.7036168150125,3558.72622355161,3550.30313674583,3524.2057127188073,3566.861460704797,3540.7733958367508,3556.846028471857,16.0726326351064
active_end_to_end_tokens_per_second,efficiency,25m,25000000,moe_220m,10,10,0,False,2139.047964056026,7.128331809910078,2.254176443674627,2133.9486626678854,2144.147265444167,2138.3891142197526,2130.6570973710213,2152.657700734458,2134.472284298813,2141.6290008169162,7.156716518103167
active_end_to_end_tokens_per_second,efficiency,25m,25000000,mla_moe_220m,10,10,0,False,2001.485369343575,9.22571401353052,2.917426932408992,1994.8856911116525,2008.0850475754976,2005.4433187784398,1986.9925614078986,2011.361689706864,1994.821835690626,2008.680221131118,13.858385440492157
active_end_to_end_tokens_per_second,efficiency,25m,25000000,v3_routing_220m,10,10,0,False,2140.2057760457656,8.891855106812793,2.811851476172821,2133.844926088377,2146.566626003154,2140.348117136553,2127.66764864771,2154.0247751344427,2133.411607407436,2144.8312720231224,11.419664615686543
active_end_to_end_tokens_per_second,efficiency,50m,50000000,dense_121m,10,10,0,False,4144.729225586196,5.24310019150849,1.658013860563185,4140.978537655599,4148.479913516792,4146.1934438557055,4135.09562193564,4150.624680104747,4141.719859490306,4147.877604878857,6.15774538855112
active_end_to_end_tokens_per_second,efficiency,50m,50000000,mla_121m,10,10,0,False,3612.67636155506,5.912283719028133,1.869628272525989,3608.4469685667023,3616.9057545434175,3613.836433869349,3603.284451888953,3620.303161849727,3607.6855319208225,3616.5155945449123,8.830062624089805
active_end_to_end_tokens_per_second,efficiency,50m,50000000,mtp_121m,10,10,0,False,3590.313491540007,9.898677827453596,3.130236775896057,3583.2324039963382,3597.3945790836756,3594.310342070668,3574.9759703548,3599.9411912654687,3581.642215715802,3598.276825735776,16.634610019973934
active_end_to_end_tokens_per_second,efficiency,50m,50000000,moe_220m,10,10,0,False,2161.9916391416164,11.83707927683447,3.7432131358775713,2153.5239027346247,2170.459375548608,2160.6669197765614,2151.389730970152,2192.5059293530353,2154.593902979656,2163.833782415554,9.239879435898274
active_end_to_end_tokens_per_second,efficiency,50m,50000000,mla_moe_220m,10,10,0,False,2023.6298582640982,11.131855018584325,3.5202016441502466,2015.6666089004912,2031.5931076277052,2024.383149145347,2003.257256567443,2041.092765706416,2018.6728968736343,2030.9019179971115,12.229021123477196
active_end_to_end_tokens_per_second,efficiency,50m,50000000,v3_routing_220m,10,10,0,False,2164.2627648621424,8.14628725230675,2.5760822191284087,2158.4352620183313,2170.0902677059535,2161.597703017369,2155.4046928004777,2178.0211024795753,2158.578826779626,2167.148895535071,8.570068755444936
evaluation_peak_memory_bytes,efficiency,10m,10000000,dense_121m,10,10,0,False,2155770368.0,0.0,0.0,2155770368.0,2155770368.0,2155770368.0,2155770368.0,2155770368.0,2155770368.0,2155770368.0,0.0
evaluation_peak_memory_bytes,efficiency,10m,10000000,mla_121m,10,10,0,False,2471604736.0,0.0,0.0,2471604736.0,2471604736.0,2471604736.0,2471604736.0,2471604736.0,2471604736.0,2471604736.0,0.0
evaluation_peak_memory_bytes,efficiency,10m,10000000,mtp_121m,10,10,0,False,2407363072.0,0.0,0.0,2407363072.0,2407363072.0,2407363072.0,2407363072.0,2407363072.0,2407363072.0,2407363072.0,0.0
evaluation_peak_memory_bytes,efficiency,10m,10000000,moe_220m,10,10,0,False,3797211033.6,3008866.33223889,951487.0784871811,3795058620.2901444,3799363446.9098554,3797250560.0,3792028160.0,3800865280.0,3795325440.0,3800068608.0,4743168.0
evaluation_peak_memory_bytes,efficiency,10m,10000000,mla_moe_220m,10,10,0,False,4094936166.4,3315731.8952391925,1048526.4899422659,4092564234.6904535,4097308098.1095467,4094561792.0,4090327552.0,4099895808.0,4092654080.0,4097798656.0,5144576.0
evaluation_peak_memory_bytes,efficiency,10m,10000000,v3_routing_220m,10,10,0,False,3796297420.8,3521405.389688005,1113566.1596206904,3793778359.1358285,3798816482.464172,3796994560.0,3790440960.0,3800664576.0,3794907648.0,3798362624.0,3454976.0
evaluation_peak_memory_bytes,efficiency,25m,25000000,dense_121m,10,10,0,False,2155770368.0,0.0,0.0,2155770368.0,2155770368.0,2155770368.0,2155770368.0,2155770368.0,2155770368.0,2155770368.0,0.0
evaluation_peak_memory_bytes,efficiency,25m,25000000,mla_121m,10,10,0,False,2471604736.0,0.0,0.0,2471604736.0,2471604736.0,2471604736.0,2471604736.0,2471604736.0,2471604736.0,2471604736.0,0.0
evaluation_peak_memory_bytes,efficiency,25m,25000000,mtp_121m,10,10,0,False,2407363072.0,0.0,0.0,2407363072.0,2407363072.0,2407363072.0,2407363072.0,2407363072.0,2407363072.0,2407363072.0,0.0
evaluation_peak_memory_bytes,efficiency,25m,25000000,moe_220m,10,10,0,False,3797211033.6,3008866.33223889,951487.0784871811,3795058620.2901444,3799363446.9098554,3797250560.0,3792028160.0,3800865280.0,3795325440.0,3800068608.0,4743168.0
evaluation_peak_memory_bytes,efficiency,25m,25000000,mla_moe_220m,10,10,0,False,4095368704.0,2951282.446697518,933277.4550038637,4093257483.7203383,4097479924.2796617,4094823936.0,4090982912.0,4099895808.0,4093735424.0,4097962496.0,4227072.0
evaluation_peak_memory_bytes,efficiency,25m,25000000,v3_routing_220m,10,10,0,False,3796297420.8,3521405.389688005,1113566.1596206904,3793778359.1358285,3798816482.464172,3796994560.0,3790440960.0,3800664576.0,3794907648.0,3798362624.0,3454976.0
evaluation_peak_memory_bytes,efficiency,50m,50000000,dense_121m,10,10,0,False,2155770368.0,0.0,0.0,2155770368.0,2155770368.0,2155770368.0,2155770368.0,2155770368.0,2155770368.0,2155770368.0,0.0
evaluation_peak_memory_bytes,efficiency,50m,50000000,mla_121m,10,10,0,False,2471604736.0,0.0,0.0,2471604736.0,2471604736.0,2471604736.0,2471604736.0,2471604736.0,2471604736.0,2471604736.0,0.0
evaluation_peak_memory_bytes,efficiency,50m,50000000,mtp_121m,10,10,0,False,2407363072.0,0.0,0.0,2407363072.0,2407363072.0,2407363072.0,2407363072.0,2407363072.0,2407363072.0,2407363072.0,0.0
evaluation_peak_memory_bytes,efficiency,50m,50000000,moe_220m,10,10,0,False,3797211033.6,3008866.33223889,951487.0784871811,3795058620.2901444,3799363446.9098554,3797250560.0,3792028160.0,3800865280.0,3795325440.0,3800068608.0,4743168.0
evaluation_peak_memory_bytes,efficiency,50m,50000000,mla_moe_220m,10,10,0,False,4094936166.4,3315731.8952391925,1048526.4899422659,4092564234.6904535,4097308098.1095467,4094561792.0,4090327552.0,4099895808.0,4092654080.0,4097798656.0,5144576.0
evaluation_peak_memory_bytes,efficiency,50m,50000000,v3_routing_220m,10,10,0,False,3796785356.8,3009511.8255125256,951691.2013830817,3794632481.732074,3798938231.8679266,3796994560.0,3790440960.0,3800664576.0,3795302656.0,3798362624.0,3059968.0
expert_bias_mean,routing,10m,10000000,dense_121m,10,0,10,False,,,,,,,,,,,
expert_bias_mean,routing,10m,10000000,mla_121m,10,0,10,False,,,,,,,,,,,
expert_bias_mean,routing,10m,10000000,mtp_121m,10,0,10,False,,,,,,,,,,,
expert_bias_mean,routing,10m,10000000,moe_220m,10,0,10,False,,,,,,,,,,,
expert_bias_mean,routing,10m,10000000,mla_moe_220m,10,0,10,False,,,,,,,,,,,
expert_bias_mean,routing,10m,10000000,v3_routing_220m,10,0,10,False,,,,,,,,,,,
expert_bias_mean,routing,25m,25000000,dense_121m,10,0,10,False,,,,,,,,,,,
