experiment_name,seed,model_name,model_config,train_config,requested_train_tokens,train_tokens,train_token_overshoot,train_token_overshoot_ratio,steps,batch_size,block_size,train_tokens_per_second,peak_memory_bytes,peak_memory_gb,final_train_loss,final_lm_loss,final_mtp_loss,validation_loss,validation_perplexity,test_loss,test_perplexity,total_parameters,trainable_parameters,activated_parameters_per_token,activated_to_total_ratio,tokens_per_total_parameter,tokens_per_trainable_parameter,tokens_per_activated_parameter,requested_tokens_per_total_parameter,requested_tokens_per_trainable_parameter,requested_tokens_per_activated_parameter,epoch_equivalent,requested_epoch_equivalent,mtp_enabled,mtp_num_future_tokens,mtp_loss_weight,routing_stats_present,mean_aux_loss,mean_routing_entropy,mean_expert_load_variance
main_large_50m_seed2027_00_dense_121m,2027,baseline_gpt,configs/model/dense_121m.yaml,configs/train/main_large_50m_seed2027.yaml,50000000,50000896,896,1.792e-05,48829,4,256,4356.7167009267,3039483904,3.039483904,4.034984588623047,4.034984588623047,,4.312404503822327,74.6196967471237,4.597012243270874,99.1875242993779,120945408,120945408,120945408,1.0,0.41341706830241953,0.41341706830241953,0.41341706830241953,0.41340966000131235,0.41340966000131235,0.41340966000131235,0.8182253083091353,0.8182106459743594,False,0,0.0,False,,,
main_large_50m_seed2027_01_mtp_121m,2027,mtp_gpt,configs/model/mtp_121m.yaml,configs/train/main_large_50m_seed2027.yaml,50000000,50000896,896,1.792e-05,48829,4,256,3796.340782806079,3432570368,3.432570368,5.443782806396484,3.9649863243103027,4.929322242736816,4.271780495643616,71.64909301486061,4.49680911064148,89.73035437421647,136305408,136305408,136305408,1.0,0.3668298766252914,0.3668298766252914,0.3668298766252914,0.36682330315169887,0.36682330315169887,0.36682330315169887,0.8182253083091353,0.8182106459743594,True,2,0.3,False,,,
main_large_50m_seed2027_02_moe_220m,2027,moe_gpt,configs/model/moe_220m.yaml,configs/train/main_large_50m_seed2027.yaml,50000000,50000896,896,1.792e-05,48829,4,256,3069.6166786491194,4608294912,4.608294912,4.039748668670654,3.9176318645477295,,4.289281673431397,72.9140735672813,4.513334350585938,91.22548972114554,220146432,220146432,78588672,0.3569836280607991,0.2271256251838776,0.2271256251838776,0.6362354106199937,0.22712155516560906,0.22712155516560906,0.6362240094857436,0.8182253083091353,0.8182106459743594,False,0,0.0,True,0.010226355011885365,1.9486134350299835,0.0003936191363512383
main_large_50m_seed2027_03_v3_routing_220m,2027,v3_routing_gpt,configs/model/v3_routing_220m.yaml,configs/train/main_large_50m_seed2027.yaml,50000000,50000896,896,1.792e-05,48829,4,256,3078.7775966062623,4621487104,4.621487104,4.0057501792907715,4.0057501792907715,,4.291101036071777,73.04685145762868,4.586758646965027,98.17569179266849,220146432,220146432,78588672,0.3569836280607991,0.2271256251838776,0.2271256251838776,0.6362354106199937,0.22712155516560906,0.22712155516560906,0.6362240094857436,0.8182253083091353,0.8182106459743594,False,0,0.0,True,0.0,1.9175710678100586,0.0006981823001600181
main_large_50m_seed31415_00_dense_121m,31415,baseline_gpt,configs/model/dense_121m.yaml,configs/train/main_large_50m_seed31415.yaml,50000000,50000896,896,1.792e-05,48829,4,256,4373.51698844969,3039483904,3.039483904,3.9677114486694336,3.9677114486694336,,4.308732595443725,74.34620248765216,4.480682692527771,88.29493039378406,120945408,120945408,120945408,1.0,0.41341706830241953,0.41341706830241953,0.41341706830241953,0.41340966000131235,0.41340966000131235,0.41340966000131235,0.8182253083091353,0.8182106459743594,False,0,0.0,False,,,
main_large_50m_seed31415_01_mtp_121m,31415,mtp_gpt,configs/model/mtp_121m.yaml,configs/train/main_large_50m_seed31415.yaml,50000000,50000896,896,1.792e-05,48829,4,256,3791.3147400249572,3432570368,3.432570368,5.44328498840332,3.991013526916504,4.840904712677002,4.276196258068085,71.96617795819667,4.4794371747970585,88.18502595062093,136305408,136305408,136305408,1.0,0.3668298766252914,0.3668298766252914,0.3668298766252914,0.36682330315169887,0.36682330315169887,0.36682330315169887,0.8182253083091353,0.8182106459743594,True,2,0.3,False,,,
main_large_50m_seed31415_02_moe_220m,31415,moe_gpt,configs/model/moe_220m.yaml,configs/train/main_large_50m_seed31415.yaml,50000000,50000896,896,1.792e-05,48829,4,256,3051.7729682151275,4612161536,4.612161536,4.058361530303955,3.9359095096588135,,4.292851362228394,73.17481923239453,4.469942431449891,87.35169415830815,220146432,220146432,78588672,0.3569836280607991,0.2271256251838776,0.2271256251838776,0.6362354106199937,0.22712155516560906,0.22712155516560906,0.6362240094857436,0.8182253083091353,0.8182106459743594,False,0,0.0,True,0.010252121215065321,1.9715441664059956,0.0003469321418378968
main_large_50m_seed31415_03_v3_routing_220m,31415,v3_routing_gpt,configs/model/v3_routing_220m.yaml,configs/train/main_large_50m_seed31415.yaml,50000000,50000896,896,1.792e-05,48829,4,256,3091.883070245885,4617969664,4.617969664,3.9558026790618896,3.9558026790618896,,4.293810865879059,73.24506443345895,4.5104541015625,90.96311562621325,220146432,220146432,78588672,0.3569836280607991,0.2271256251838776,0.2271256251838776,0.6362354106199937,0.22712155516560906,0.22712155516560906,0.6362240094857436,0.8182253083091353,0.8182106459743594,False,0,0.0,True,0.0,1.9271483222643535,0.000701722173592619
