experiment_name,model_name,model_config,max_tokens,train_tokens,steps,batch_size,block_size,train_tokens_per_second,peak_memory_bytes,peak_memory_gb,final_train_loss,final_lm_loss,final_mtp_loss,validation_loss,test_loss,total_parameters,trainable_parameters,activated_parameters_per_token,activated_to_total_ratio,tokens_per_total_parameter,tokens_per_trainable_parameter,tokens_per_activated_parameter,requested_tokens_per_total_parameter,requested_tokens_per_trainable_parameter,requested_tokens_per_activated_parameter,mtp_enabled,mtp_num_future_tokens,mtp_loss_weight,routing_stats_present,mean_aux_loss,mean_routing_entropy,mean_expert_load_variance
main_large_feasibility_00_dense_121m,baseline_gpt,configs/model/dense_121m.yaml,8192,8192,32,1,256,1264.4849670304502,2473472000,2.473472,8.05855941772461,8.05855941772461,,7.432360053062439,8.085251808166504,120945408,120945408,120945408,1.0,6.773303869461501e-05,6.773303869461501e-05,6.773303869461501e-05,6.773303869461501e-05,6.773303869461501e-05,6.773303869461501e-05,False,0,0.0,False,,,
main_large_feasibility_01_mla_121m,mla_gpt,configs/model/mla_121m.yaml,8192,8192,32,1,256,1749.1473707288712,2875600896,2.875600896,8.006093978881836,8.006093978881836,,7.091970801353455,7.937196731567383,137460480,137460480,137460480,1.0,5.959531059399763e-05,5.959531059399763e-05,5.959531059399763e-05,5.959531059399763e-05,5.959531059399763e-05,5.959531059399763e-05,False,0,0.0,False,,,
main_large_feasibility_02_mtp_121m,mtp_gpt,configs/model/mtp_121m.yaml,8192,8192,32,1,256,1751.3558309713376,2809017344,2.809017344,10.509668350219727,8.082175254821777,8.091642379760742,7.422400712966919,8.024201154708862,136305408,136305408,136305408,1.0,6.0100329988374344e-05,6.0100329988374344e-05,6.0100329988374344e-05,6.0100329988374344e-05,6.0100329988374344e-05,6.0100329988374344e-05,True,2,0.3,False,,,
main_large_feasibility_03_moe_220m,moe_gpt,configs/model/moe_220m.yaml,8192,8192,32,1,256,924.5984229888165,4261846016,4.261846016,8.253376007080078,8.111721992492676,,7.4070059061050415,8.063028573989868,220146432,220146432,78588672,0.3569836280607991,3.721159559833339e-05,3.721159559833339e-05,0.00010423894171414425,3.721159559833339e-05,3.721159559833339e-05,0.00010423894171414425,False,0,0.0,True,0.011915724103649458,2.463524262110392,0.024089494875321787
main_large_feasibility_04_mla_moe_220m,mla_moe_gpt,configs/model/mla_moe_220m.yaml,8192,8192,32,1,256,426.05159018768376,4876950528,4.876950528,8.162545204162598,8.02536392211914,,8.048279523849487,7.966212749481201,236661504,236661504,95103744,0.4018555717452045,3.4614839598078444e-05,3.4614839598078444e-05,8.613751315615924e-05,3.4614839598078444e-05,3.4614839598078444e-05,8.613751315615924e-05,False,0,0.0,True,0.012303049132848779,2.4491010904312134,0.02056603948585689
main_large_feasibility_05_v3_routing_220m,v3_routing_gpt,configs/model/v3_routing_220m.yaml,8192,8192,32,1,256,1091.216116536924,4156732416,4.156732416,8.133326530456543,8.133326530456543,,7.389790773391724,8.067862749099731,220146432,220146432,78588672,0.3569836280607991,3.721159559833339e-05,3.721159559833339e-05,0.00010423894171414425,3.721159559833339e-05,3.721159559833339e-05,0.00010423894171414425,False,0,0.0,True,0.0,2.1041915019353232,0.03197775827720761
