metric,metric_group,metric_direction,budget,contrast_id,contrast_family,model_a,model_b,interpretation,pair_count,model_a_mean,model_b_mean,mean_difference_model_b_minus_model_a,median_difference_model_b_minus_model_a,relative_change_percent,std_difference,standard_error_difference,paired_t_ci95_low,paired_t_ci95_high,bootstrap_reps,bootstrap_ci95_low,bootstrap_ci95_high,min_difference,max_difference,paired_cohens_dz,model_b_better_seed_count,model_a_better_seed_count,tie_seed_count,model_b_better_seed_fraction,exact_sign_flip_p_value,holm_p_by_metric_budget,holm_p_by_metric_all_budgets,holm_p_by_metric_group_budget
train_loss,optimization,lower_is_better,10m,mtp_vs_dense,objective_mechanism,dense_121m,mtp_121m,Effect of MTP objective relative to next-token-only dense baseline.,10,4.783436632156372,6.418575429916382,1.6351387977600098,1.6396799087524414,34.18334815533847,0.09854324881577961,0.031162111429055395,1.5646452041846393,1.7056323913353804,20000,1.5742766857147217,1.689830207824707,1.4243016242980957,1.785646915435791,16.593108278952712,0,10,0,0.0,0.001953125,0.013671875,0.041015625,0.02734375
train_loss,optimization,lower_is_better,25m,mla_vs_dense,attention_mechanism,dense_121m,mla_121m,Effect of MLA attention relative to dense baseline.,10,4.39507360458374,4.692891836166382,0.2978182315826416,0.296872615814209,6.776183026196398,0.047275368218717445,0.014949784079428435,0.2639994704459313,0.3316369927193519,20000,0.27043657302856444,0.326096773147583,0.24065637588500977,0.37470245361328125,6.299649115471686,0,10,0,0.0,0.001953125,0.013671875,0.041015625,0.02734375
train_loss,optimization,lower_is_better,25m,moe_vs_dense,sparse_ffn_mechanism,dense_121m,moe_220m,Effect of sparse MoE capacity relative to dense baseline.,10,4.39507360458374,4.498036241531372,0.10296263694763183,0.09956574440002441,2.342682881129666,0.02922777006064195,0.009242632431930624,0.08205434978915778,0.12387092410610588,20000,0.08634076118469239,0.12016153335571289,0.06664514541625977,0.1451106071472168,3.522767448012775,0,10,0,0.0,0.001953125,0.013671875,0.041015625,0.02734375
train_loss,optimization,lower_is_better,25m,mla_moe_vs_dense,composition_supporting,dense_121m,mla_moe_220m,Supporting comparison for combined MLA plus MoE relative to dense baseline.,10,4.39507360458374,4.798297262191772,0.40322365760803225,0.40134620666503906,9.174446070425292,0.05007540131416659,0.01583523228997553,0.3674018734595967,0.4390454417564678,20000,0.37430768013000487,0.4341170310974121,0.33402490615844727,0.492767333984375,8.052330026838112,0,10,0,0.0,0.001953125,0.013671875,0.041015625,0.02734375
train_loss,optimization,lower_is_better,25m,mla_moe_vs_mla,composition_mechanism,mla_121m,mla_moe_220m,Effect of adding MoE capacity on top of MLA.,10,4.692891836166382,4.798297262191772,0.10540542602539063,0.08596611022949219,2.2460655328356385,0.04243571481186362,0.01341935129428327,0.07504874437569013,0.13576210767509111,20000,0.08555846214294434,0.13273754119873046,0.07676315307617188,0.21481704711914062,2.4838847770727965,0,10,0,0.0,0.001953125,0.013671875,0.041015625,0.02734375
train_loss,optimization,lower_is_better,25m,mla_moe_vs_moe,composition_mechanism,moe_220m,mla_moe_220m,Effect of adding MLA attention inside the MoE setting.,10,4.498036241531372,4.798297262191772,0.3002610206604004,0.278902530670166,6.675380200097621,0.04630354538472789,0.014642466715671766,0.26713745969934694,0.33338458162145385,20000,0.27501511573791504,0.32915468215942384,0.25789451599121094,0.3854546546936035,6.484622682034068,0,10,0,0.0,0.001953125,0.013671875,0.041015625,0.02734375
train_loss,optimization,lower_is_better,25m,v3_routing_vs_moe,routing_mechanism,moe_220m,v3_routing_220m,Effect of V3-style routing relative to standard MoE.,10,4.498036241531372,4.367259359359741,-0.13077688217163086,-0.12024235725402832,-2.9074217091480663,0.02938736198458666,0.009293099829513988,-0.15179933451503302,-0.10975442982822871,20000,-0.14924678802490235,-0.11527390480041504,-0.19324159622192383,-0.09730768203735352,-4.450106213692194,10,0,0,1.0,0.001953125,0.013671875,0.041015625,0.02734375
train_loss,optimization,lower_is_better,25m,mtp_vs_dense,objective_mechanism,dense_121m,mtp_121m,Effect of MTP objective relative to next-token-only dense baseline.,10,4.39507360458374,5.961048030853272,1.5659744262695312,1.5741488933563232,35.63022072341028,0.0694740699927485,0.02196962994990429,1.5162756705155862,1.6156731820234762,20000,1.5243746757507324,1.605209732055664,1.434816837310791,1.6456055641174316,22.54041581892328,0,10,0,0.0,0.001953125,0.013671875,0.041015625,0.02734375
train_loss,optimization,lower_is_better,50m,mla_vs_dense,attention_mechanism,dense_121m,mla_121m,Effect of MLA attention relative to dense baseline.,10,4.250305151939392,4.4685547828674315,0.21824963092803956,0.2019355297088623,5.134916744235491,0.044015025763370456,0.013918773268324205,0.1867631782825321,0.249736083573547,20000,0.19310874938964845,0.24414825439453125,0.16503286361694336,0.286731481552124,4.958525574911014,0,10,0,0.0,0.001953125,0.013671875,0.041015625,0.02734375
train_loss,optimization,lower_is_better,50m,moe_vs_dense,sparse_ffn_mechanism,dense_121m,moe_220m,Effect of sparse MoE capacity relative to dense baseline.,10,4.250305151939392,4.33294448852539,0.08263933658599854,0.08557510375976562,1.9443153757628588,0.04105748302348272,0.012983516134790188,0.053268582564119676,0.1120100906078774,20000,0.05862369537353516,0.10650095939636231,0.004764080047607422,0.1548151969909668,2.0127716192133156,0,10,0,0.0,0.001953125,0.013671875,0.041015625,0.02734375
