metric,metric_group,metric_direction,budget,seed,model,value
validation_loss,quality,lower_is_better,25m,31415,mtp_121m,4.58462516784668
validation_loss,quality,lower_is_better,25m,31415,moe_220m,4.563076300621033
validation_loss,quality,lower_is_better,25m,31415,mla_moe_220m,4.621018161773682
validation_loss,quality,lower_is_better,25m,31415,v3_routing_220m,4.578520503044128
validation_loss,quality,lower_is_better,25m,4441,dense_121m,4.591076664924621
validation_loss,quality,lower_is_better,25m,4441,mla_121m,4.620917696952819
validation_loss,quality,lower_is_better,25m,4441,mtp_121m,4.59845272064209
validation_loss,quality,lower_is_better,25m,4441,moe_220m,4.581375322341919
validation_loss,quality,lower_is_better,25m,4441,mla_moe_220m,4.610363845825195
validation_loss,quality,lower_is_better,25m,4441,v3_routing_220m,4.582013196945191
validation_loss,quality,lower_is_better,25m,5501,dense_121m,4.591331214904785
validation_loss,quality,lower_is_better,25m,5501,mla_121m,4.640361032485962
validation_loss,quality,lower_is_better,25m,5501,mtp_121m,4.5947574567794796
validation_loss,quality,lower_is_better,25m,5501,moe_220m,4.5742539167404175
validation_loss,quality,lower_is_better,25m,5501,mla_moe_220m,4.613008084297181
validation_loss,quality,lower_is_better,25m,5501,v3_routing_220m,4.572850742340088
validation_loss,quality,lower_is_better,25m,6173,dense_121m,4.6034186697006225
validation_loss,quality,lower_is_better,25m,6173,mla_121m,4.675508689880371
validation_loss,quality,lower_is_better,25m,6173,mtp_121m,4.582125868797302
validation_loss,quality,lower_is_better,25m,6173,moe_220m,4.588406610488891
validation_loss,quality,lower_is_better,25m,6173,mla_moe_220m,4.610475754737854
validation_loss,quality,lower_is_better,25m,6173,v3_routing_220m,4.588345732688904
validation_loss,quality,lower_is_better,25m,8191,dense_121m,4.596622920036316
validation_loss,quality,lower_is_better,25m,8191,mla_121m,4.6468532228469845
validation_loss,quality,lower_is_better,25m,8191,mtp_121m,4.559765419960022
validation_loss,quality,lower_is_better,25m,8191,moe_220m,4.5880322265625
validation_loss,quality,lower_is_better,25m,8191,mla_moe_220m,4.601074109077453
validation_loss,quality,lower_is_better,25m,8191,v3_routing_220m,4.5800872421264645
validation_loss,quality,lower_is_better,25m,10007,dense_121m,4.595331959724426
validation_loss,quality,lower_is_better,25m,10007,mla_121m,4.645402798652649
validation_loss,quality,lower_is_better,25m,10007,mtp_121m,4.587992253303528
validation_loss,quality,lower_is_better,25m,10007,moe_220m,4.571568922996521
validation_loss,quality,lower_is_better,25m,10007,mla_moe_220m,4.619457764625549
validation_loss,quality,lower_is_better,25m,10007,v3_routing_220m,4.574943222999573
validation_loss,quality,lower_is_better,25m,11213,dense_121m,4.5933767557144165
validation_loss,quality,lower_is_better,25m,11213,mla_121m,4.61867467880249
validation_loss,quality,lower_is_better,25m,11213,mtp_121m,4.580157718658447
validation_loss,quality,lower_is_better,25m,11213,moe_220m,4.557565808296204
validation_loss,quality,lower_is_better,25m,11213,mla_moe_220m,4.615940542221069
validation_loss,quality,lower_is_better,25m,11213,v3_routing_220m,4.567799167633057
validation_loss,quality,lower_is_better,25m,12721,dense_121m,4.621394553184509
validation_loss,quality,lower_is_better,25m,12721,mla_121m,4.6554359483718875
validation_loss,quality,lower_is_better,25m,12721,mtp_121m,4.604061307907105
validation_loss,quality,lower_is_better,25m,12721,moe_220m,4.563816108703613
validation_loss,quality,lower_is_better,25m,12721,mla_moe_220m,4.640058860778809
validation_loss,quality,lower_is_better,25m,12721,v3_routing_220m,4.57842291355133
validation_loss,quality,lower_is_better,50m,1337,dense_121m,4.413815379142761
validation_loss,quality,lower_is_better,50m,1337,mla_121m,4.457189702987671
validation_loss,quality,lower_is_better,50m,1337,mtp_121m,4.396453225612641
validation_loss,quality,lower_is_better,50m,1337,moe_220m,4.3878645324707035
validation_loss,quality,lower_is_better,50m,1337,mla_moe_220m,4.427925455570221
validation_loss,quality,lower_is_better,50m,1337,v3_routing_220m,4.389537134170532
validation_loss,quality,lower_is_better,50m,2027,dense_121m,4.41679119348526
validation_loss,quality,lower_is_better,50m,2027,mla_121m,4.45543247461319
validation_loss,quality,lower_is_better,50m,2027,mtp_121m,4.40369558095932
validation_loss,quality,lower_is_better,50m,2027,moe_220m,4.377377479076386
validation_loss,quality,lower_is_better,50m,2027,mla_moe_220m,4.429646024703979
validation_loss,quality,lower_is_better,50m,2027,v3_routing_220m,4.389232478141785
validation_loss,quality,lower_is_better,50m,31415,dense_121m,4.410975000858307
validation_loss,quality,lower_is_better,50m,31415,mla_121m,4.462382535934449
validation_loss,quality,lower_is_better,50m,31415,mtp_121m,4.392371289730072
validation_loss,quality,lower_is_better,50m,31415,moe_220m,4.383457946777344
validation_loss,quality,lower_is_better,50m,31415,mla_moe_220m,4.437074370384217
validation_loss,quality,lower_is_better,50m,31415,v3_routing_220m,4.386140849590301
validation_loss,quality,lower_is_better,50m,4441,dense_121m,4.415515968799591
validation_loss,quality,lower_is_better,50m,4441,mla_121m,4.457079436779022
validation_loss,quality,lower_is_better,50m,4441,mtp_121m,4.410480535030365
validation_loss,quality,lower_is_better,50m,4441,moe_220m,4.384979677200318
validation_loss,quality,lower_is_better,50m,4441,mla_moe_220m,4.428687889575958
validation_loss,quality,lower_is_better,50m,4441,v3_routing_220m,4.39297039270401
validation_loss,quality,lower_is_better,50m,5501,dense_121m,4.414704790115357
validation_loss,quality,lower_is_better,50m,5501,mla_121m,4.4633503246307376
validation_loss,quality,lower_is_better,50m,5501,mtp_121m,4.421631121635437
validation_loss,quality,lower_is_better,50m,5501,moe_220m,4.385798540115356
validation_loss,quality,lower_is_better,50m,5501,mla_moe_220m,4.4384384441375735
validation_loss,quality,lower_is_better,50m,5501,v3_routing_220m,4.386574988365173
validation_loss,quality,lower_is_better,50m,6173,dense_121m,4.418850474357605
validation_loss,quality,lower_is_better,50m,6173,mla_121m,4.485051980018616
validation_loss,quality,lower_is_better,50m,6173,mtp_121m,4.394934310913086
validation_loss,quality,lower_is_better,50m,6173,moe_220m,4.385251336097717
validation_loss,quality,lower_is_better,50m,6173,mla_moe_220m,4.4289761471748355
validation_loss,quality,lower_is_better,50m,6173,v3_routing_220m,4.3907927536964415
validation_loss,quality,lower_is_better,50m,8191,dense_121m,4.425653915405274
validation_loss,quality,lower_is_better,50m,8191,mla_121m,4.481629219055176
validation_loss,quality,lower_is_better,50m,8191,mtp_121m,4.393142654895782
validation_loss,quality,lower_is_better,50m,8191,moe_220m,4.400483725070953
validation_loss,quality,lower_is_better,50m,8191,mla_moe_220m,4.434100689888001
validation_loss,quality,lower_is_better,50m,8191,v3_routing_220m,4.4089886403083804
validation_loss,quality,lower_is_better,50m,10007,dense_121m,4.425504629611969
validation_loss,quality,lower_is_better,50m,10007,mla_121m,4.473752200603485
validation_loss,quality,lower_is_better,50m,10007,mtp_121m,4.388782823085785
validation_loss,quality,lower_is_better,50m,10007,moe_220m,4.389926397800446
validation_loss,quality,lower_is_better,50m,10007,mla_moe_220m,4.433446598052979
validation_loss,quality,lower_is_better,50m,10007,v3_routing_220m,4.3941803598403935
validation_loss,quality,lower_is_better,50m,11213,dense_121m,4.408506515026093
validation_loss,quality,lower_is_better,50m,11213,mla_121m,4.44751650094986
