experiment_name,model_name,model_config,train_config,requested_train_tokens,train_tokens,train_token_overshoot,train_token_overshoot_ratio,steps,batch_size,block_size,train_tokens_per_second,peak_memory_bytes,peak_memory_gb,final_train_loss,final_lm_loss,final_mtp_loss,validation_loss,validation_perplexity,test_loss,test_perplexity,total_parameters,trainable_parameters,activated_parameters_per_token,activated_to_total_ratio,tokens_per_total_parameter,tokens_per_trainable_parameter,tokens_per_activated_parameter,requested_tokens_per_total_parameter,requested_tokens_per_trainable_parameter,requested_tokens_per_activated_parameter,epoch_equivalent,requested_epoch_equivalent,mtp_enabled,mtp_num_future_tokens,mtp_loss_weight,routing_stats_present,mean_aux_loss,mean_routing_entropy,mean_expert_load_variance
main_large_10m_00_dense_121m,baseline_gpt,configs/model/dense_121m.yaml,configs/train/main_large_10m.yaml,10000000,10000384,384,3.84e-05,9766,4,256,4202.907892437294,3039483904,3.039483904,5.062093734741211,5.062093734741211,,4.909929447174072,135.62984500204976,5.188995990753174,179.2884552701619,120945408,120945408,120945408,1.0,0.08268510698645128,0.08268510698645128,0.08268510698645128,0.08268193200026247,0.08268193200026247,0.08268193200026247,0.16364841305263297,0.1636421291948719,False,0,0.0,False,,,
main_large_10m_01_mla_121m,mla_gpt,configs/model/mla_121m.yaml,configs/train/main_large_10m.yaml,10000000,10000384,384,3.84e-05,9766,4,256,3658.269943238039,3507910656,3.507910656,5.286712169647217,5.286712169647217,,5.170504875183106,176.00367494387845,5.49369288444519,243.15348864284715,137460480,137460480,137460480,1.0,0.07275097540762261,0.07275097540762261,0.07275097540762261,0.07274818187743852,0.07274818187743852,0.07274818187743852,0.16364841305263297,0.1636421291948719,False,0,0.0,False,,,
main_large_10m_02_mtp_121m,mtp_gpt,configs/model/mtp_121m.yaml,configs/train/main_large_10m.yaml,10000000,10000384,384,3.84e-05,9766,4,256,3701.8619086486,3432570368,3.432570368,6.847740650177002,5.101861953735352,5.8195953369140625,4.893395986557007,133.4058501285416,5.223997783660889,185.67499073584426,136305408,136305408,136305408,1.0,0.07336747783330798,0.07336747783330798,0.07336747783330798,0.07336466063033978,0.07336466063033978,0.07336466063033978,0.16364841305263297,0.1636421291948719,True,2,0.3,False,,,
main_large_10m_03_moe_220m,moe_gpt,configs/model/moe_220m.yaml,configs/train/main_large_10m.yaml,10000000,10000384,384,3.84e-05,9766,4,256,3012.221972434,4610929664,4.610929664,5.156421184539795,5.03452205657959,,4.881770505905151,131.86392318609032,5.15611083984375,173.48841760588306,220146432,220146432,78588672,0.3569836280607991,0.04542605532666548,0.04542605532666548,0.12724968809754159,0.045424311033121806,0.045424311033121806,0.12724480189714873,0.16364841305263297,0.1636421291948719,False,0,0.0,True,0.010408792334298292,1.573114236195882,0.00041370590345953434
main_large_10m_04_mla_moe_220m,mla_moe_gpt,configs/model/mla_moe_220m.yaml,configs/train/main_large_10m.yaml,10000000,10000384,384,3.84e-05,9766,4,256,2694.4080982958517,4940050432,4.940050432,5.395519733428955,5.274228572845459,,5.11118088722229,165.86610843760542,5.480277605056763,239.91329927576695,236661504,236661504,95103744,0.4018555717452045,0.04225606543935426,0.04225606543935426,0.10515236918538139,0.0422544428687481,0.0422544428687481,0.1051483314894522,0.16364841305263297,0.1636421291948719,False,0,0.0,True,0.010419028966377178,1.5840846349795659,0.00044207770345868386
main_large_10m_05_v3_routing_220m,v3_routing_gpt,configs/model/v3_routing_220m.yaml,configs/train/main_large_10m.yaml,10000000,10000384,384,3.84e-05,9766,4,256,3041.3404418619007,4619199488,4.619199488,5.0649003982543945,5.0649003982543945,,4.873156633377075,130.7329422167746,5.20044545173645,181.3530078974116,220146432,220146432,78588672,0.3569836280607991,0.04542605532666548,0.04542605532666548,0.12724968809754159,0.045424311033121806,0.045424311033121806,0.12724480189714873,0.16364841305263297,0.1636421291948719,False,0,0.0,True,0.0,1.3508471846580505,0.0005153516928354899
