experiment_name,model_name,model_config,train_config,requested_train_tokens,train_tokens,train_token_overshoot,train_token_overshoot_ratio,steps,batch_size,block_size,train_tokens_per_second,peak_memory_bytes,peak_memory_gb,final_train_loss,final_lm_loss,final_mtp_loss,validation_loss,validation_perplexity,test_loss,test_perplexity,total_parameters,trainable_parameters,activated_parameters_per_token,activated_to_total_ratio,tokens_per_total_parameter,tokens_per_trainable_parameter,tokens_per_activated_parameter,requested_tokens_per_total_parameter,requested_tokens_per_trainable_parameter,requested_tokens_per_activated_parameter,epoch_equivalent,requested_epoch_equivalent,mtp_enabled,mtp_num_future_tokens,mtp_loss_weight,routing_stats_present,mean_aux_loss,mean_routing_entropy,mean_expert_load_variance
main_large_25m_00_dense_121m,baseline_gpt,configs/model/dense_121m.yaml,configs/train/main_large_25m.yaml,25000000,25000960,960,3.84e-05,24415,4,256,4325.118030753901,3039483904,3.039483904,4.357956886291504,4.357956886291504,,4.458243204752605,86.33570163774476,4.756150461832682,116.29737191812218,120945408,120945408,120945408,1.0,0.20671276746612818,0.20671276746612818,0.20671276746612818,0.20670483000065618,0.20670483000065618,0.20670483000065618,0.40912103263158245,0.4091053229871797,False,0,0.0,False,,,
main_large_25m_01_mla_121m,mla_gpt,configs/model/mla_121m.yaml,configs/train/main_large_25m.yaml,25000000,25000960,960,3.84e-05,24415,4,256,3733.4559298943955,3507910656,3.507910656,4.635907173156738,4.635907173156738,,4.744110450744629,114.90554588458917,5.048492425282796,155.78742617704174,137460480,137460480,137460480,1.0,0.18187743851905652,0.18187743851905652,0.18187743851905652,0.1818704546935963,0.1818704546935963,0.1818704546935963,0.40912103263158245,0.4091053229871797,False,0,0.0,False,,,
main_large_25m_02_mtp_121m,mtp_gpt,configs/model/mtp_121m.yaml,configs/train/main_large_25m.yaml,25000000,25000960,960,3.84e-05,24415,4,256,3779.0184704355433,3432570368,3.432570368,5.996679306030273,4.401907920837402,5.31590461730957,4.409285081227621,82.21066853966511,4.785344670613607,119.7426277370707,136305408,136305408,136305408,1.0,0.18341869458326995,0.18341869458326995,0.18341869458326995,0.18341165157584943,0.18341165157584943,0.18341165157584943,0.40912103263158245,0.4091053229871797,True,2,0.3,False,,,
main_large_25m_03_moe_220m,moe_gpt,configs/model/moe_220m.yaml,configs/train/main_large_25m.yaml,25000000,25000960,960,3.84e-05,24415,4,256,3061.6362002106716,4610929664,4.610929664,4.4895853996276855,4.368191242218018,,4.441816126505534,84.92904358433267,4.791313501993815,120.45948857348847,220146432,220146432,78588672,0.3569836280607991,0.1135651383166637,0.1135651383166637,0.31812422024385395,0.11356077758280453,0.11356077758280453,0.3181120047428718,0.40912103263158245,0.4091053229871797,False,0,0.0,True,0.010306819264466563,1.7730824848016102,0.00042484203064911225
main_large_25m_04_mla_moe_220m,mla_moe_gpt,configs/model/mla_moe_220m.yaml,configs/train/main_large_25m.yaml,25000000,25000960,960,3.84e-05,24415,4,256,2748.364531964819,4940050432,4.940050432,4.850724220275879,4.7297682762146,,4.686026490529378,108.42150885880804,5.049576460520426,155.95639680510794,236661504,236661504,95103744,0.4018555717452045,0.10564016359838566,0.10564016359838566,0.26288092296345345,0.10563610717187025,0.10563610717187025,0.2628708287236305,0.40912103263158245,0.4091053229871797,False,0,0.0,True,0.010274648200720549,1.7413464387257893,0.00036053855607557733
main_large_25m_05_v3_routing_220m,v3_routing_gpt,configs/model/v3_routing_220m.yaml,configs/train/main_large_25m.yaml,25000000,25000960,960,3.84e-05,24415,4,256,3070.142789167141,4619199488,4.619199488,4.392277717590332,4.392277717590332,,4.392600831985473,80.8504241371691,4.855384972890218,128.4301238149602,220146432,220146432,78588672,0.3569836280607991,0.1135651383166637,0.1135651383166637,0.31812422024385395,0.11356077758280453,0.11356077758280453,0.3181120047428718,0.40912103263158245,0.4091053229871797,False,0,0.0,True,0.0,1.6852385302384694,0.0005643500177635966
